PickListId,ItemSku,ItemQuantity
0,cdc_00,0
1,crc_90,1
2,crc_90,0
3,cdc_00,1
4,cdc_00,1
5,cdc_00,0
6,cdc_00,1
7,crc_90,0
8,crc_90,1
9,crc_90,1
10,cdc_00,0
11,cdc_00,1
12,crc_90,0
13,crc_90,0
14,crc_90,0
15,crc_90,1
16,crc_90,0
17,cdc_00,0
18,cdc_00,1
19,cdc_00,1
20,crc_90,1
21,cdc_00,0
22,cdc_00,0
23,crc_90,1
24,crc_90,0
25,cdc_00,1
26,crc_90,1
27,crc_90,0
28,cdc_00,0
29,cdc_00,0
30,crc_90,0
31,crc_90,0
32,crc_90,1
33,crc_90,1
34,cdc_00,0
35,crc_90,0
36,cdc_00,1
37,cdc_00,1
38,cdc_00,1
39,cdc_00,1
40,cdc_00,1
41,cdc_00,0
42,cdc_00,0
43,crc_90,0
44,crc_90,1
45,cdc_00,1
46,crc_90,1
47,crc_90,1
48,cdc_00,0
49,crc_90,0
50,cdc_00,1
51,cdc_00,0
52,crc_90,1
53,crc_90,0
54,crc_90,0
55,cdc_00,1
56,crc_90,1
57,cdc_00,0
58,crc_90,0
59,cdc_00,1
60,crc_90,3
61,cdc_00,3
62,cdc_00,3
63,cdc_00,4
64,crc_90,5
65,cdc_00,3
66,cdc_00,2
67,crc_90,3
68,crc_90,4
69,crc_90,4
70,crc_90,4
71,crc_90,5
72,cdc_00,4
73,crc_90,6
74,cdc_00,2
75,crc_90,3
76,cdc_00,3
77,crc_90,4
78,cdc_00,6
79,cdc_00,3
80,cdc_00,4
81,crc_90,4
82,crc_90,4
83,cdc_00,3
84,crc_90,4
85,cdc_00,4
86,crc_90,4
87,cdc_00,4
88,crc_90,5
89,cdc_00,5
90,cdc_00,4
91,cdc_00,4
92,crc_90,4
93,cdc_00,4
94,crc_90,4
95,cdc_00,3
96,crc_90,4
97,crc_90,4
98,crc_90,5
99,cdc_00,4
100,cdc_00,2
101,cdc_00,3
102,crc_90,4
103,crc_90,4
104,cdc_00,4
105,cdc_00,4
106,crc_90,4
107,crc_90,4
